index,Year,Enrollment,First Degree,Sex,Institute_Type
1,1993,13727,Males Total,M,University
2,1993,92,Education,M,University
3,1993,0,Applied Arts,M,University
4,1993,1251,Humanities & Social Sciences,M,University
5,1993,28,Mass Communication,M,University
6,1993,852,Accountancy,M,University
7,1993,1234,Business & Administration,M,University
8,1993,353,Law,M,University
9,1993,1158,"Natural, Physical & Mathematical Sciences",M,University
10,1993,522,Medicine,M,University
11,1993,101,Dentistry,M,University
12,1993,23,Health Sciences,M,University
13,1993,911,Information Technology,M,University
14,1993,478,Architecture & Building,M,University
15,1993,6724,Engineering Sciences,M,University
16,1993,0,Services,M,University
17,1993,12078,Females Total,F,University
18,1993,458,Education,F,University
19,1993,0,Applied Arts,F,University
20,1993,3283,Humanities & Social Sciences,F,University
21,1993,69,Mass Communication,F,University
22,1993,1246,Accountancy,F,University
23,1993,2515,Business & Administration,F,University
24,1993,410,Law,F,University
25,1993,1598,"Natural, Physical & Mathematical Sciences",F,University
26,1993,249,Medicine,F,University
27,1993,40,Dentistry,F,University
28,1993,79,Health Sciences,F,University
29,1993,578,Information Technology,F,University
30,1993,572,Architecture & Building,F,University
31,1993,981,Engineering Sciences,F,University
32,1993,0,Services,F,University
33,1993,23264,Males Total,M,Polytechnic
34,1993,0,Education,M,Polytechnic
35,1993,238,Applied Arts,M,Polytechnic
36,1993,0,Humanities & Social Sciences,M,Polytechnic
37,1993,83,Mass Communication & Information Science,M,Polytechnic
38,1993,2038,Business & Administration,M,Polytechnic
39,1993,26,Legal Studies,M,Polytechnic
40,1993,660,Science & Related Technologies,M,Polytechnic
41,1993,85,Health Sciences,M,Polytechnic
42,1993,915,Information Technology,M,Polytechnic
43,1993,800,Architecture & Building,M,Polytechnic
44,1993,18180,Engineering Sciences,M,Polytechnic
45,1993,239,Services,M,Polytechnic
46,1993,15534,Females Total,F,Polytechnic
47,1993,0,Education,F,Polytechnic
48,1993,278,Applied Arts,F,Polytechnic
49,1993,0,Humanities & Social Sciences,F,Polytechnic
50,1993,247,Mass Communication & Information Science,F,Polytechnic
51,1993,6216,Business & Administration,F,Polytechnic
52,1993,62,Legal Studies,F,Polytechnic
53,1993,1220,Science & Related Technologies,F,Polytechnic
54,1993,715,Health Sciences,F,Polytechnic
55,1993,997,Information Technology,F,Polytechnic
56,1993,1008,Architecture & Building,F,Polytechnic
57,1993,4737,Engineering Sciences,F,Polytechnic
58,1993,54,Services,F,Polytechnic
59,1993,25805,Total,MF,University
60,1993,550,Education,MF,University
61,1993,0,Applied Arts,MF,University
62,1993,4534,Humanities & Social Sciences,MF,University
