Series,Country,Rank,Year
"5.01 Secondary education enrollment, gross %*",Albania,60,2017-2018
"5.02 Tertiary education enrollment, gross %*",Albania,46,2017-2018
"5.03 Quality of the education system, 1-7 (best)",Albania,42,2017-2018
"5.04 Quality of math and science education, 1-7 (best)",Albania,58,2017-2018
"5.05 Quality of management schools, 1-7 (best)",Albania,77,2017-2018
"5.06 Internet access in schools, 1-7 (best)",Albania,28,2017-2018
"5.07 Availability of research and training services, 1-7 (best)",Albania,94,2017-2018
"5.08 Extent of staff training, 1-7 (best)",Albania,72,2017-2018
5th pillar: Higher education and training,Albania,49,2017-2018
"5.01 Secondary education enrollment, gross %*",Albania,61,2016-2017
"5.02 Tertiary education enrollment, gross %*",Albania,41,2016-2017
"5.03 Quality of the education system, 1-7 (best)",Albania,34,2016-2017
"5.04 Quality of math and science education, 1-7 (best)",Albania,37,2016-2017
"5.05 Quality of management schools, 1-7 (best)",Albania,60,2016-2017
"5.06 Internet access in schools, 1-7 (best)",Albania,30,2016-2017
"5.07 Availability of research and training services, 1-7 (best)",Albania,90,2016-2017
"5.08 Extent of staff training, 1-7 (best)",Albania,72,2016-2017
5th pillar: Higher education and training,Albania,42,2016-2017
"5.01 Secondary education enrollment, gross %*",Albania,89,2015-2016
"5.02 Tertiary education enrollment, gross %*",Albania,48,2015-2016
"5.03 Quality of the education system, 1-7 (best)",Albania,29,2015-2016
"5.04 Quality of math and science education, 1-7 (best)",Albania,28,2015-2016
"5.05 Quality of management schools, 1-7 (best)",Albania,61,2015-2016
"5.06 Internet access in schools, 1-7 (best)",Albania,45,2015-2016
"5.07 Availability of research and training services, 1-7 (best)",Albania,66,2015-2016
"5.08 Extent of staff training, 1-7 (best)",Albania,37,2015-2016
5th pillar: Higher education and training,Albania,47,2015-2016
"5.01 Secondary education enrollment, gross %*",Albania,93,2014-2015
"5.02 Tertiary education enrollment, gross %*",Albania,49,2014-2015
"5.03 Quality of the education system, 1-7 (best)",Albania,46,2014-2015
"5.04 Quality of math and science education, 1-7 (best)",Albania,64,2014-2015
"5.05 Quality of management schools, 1-7 (best)",Albania,86,2014-2015
"5.06 Internet access in schools, 1-7 (best)",Albania,75,2014-2015
"5.07 Availability of research and training services, 1-7 (best)",Albania,91,2014-2015
"5.08 Extent of staff training, 1-7 (best)",Albania,32,2014-2015
5th pillar: Higher education and training,Albania,60,2014-2015
"5.01 Secondary education enrollment, gross %*",Albania,95,2013-2014
"5.02 Tertiary education enrollment, gross %*",Albania,57,2013-2014
"5.03 Quality of the education system, 1-7 (best)",Albania,52,2013-2014
"5.04 Quality of math and science education, 1-7 (best)",Albania,54,2013-2014
"5.05 Quality of management schools, 1-7 (best)",Albania,84,2013-2014
"5.06 Internet access in schools, 1-7 (best)",Albania,73,2013-2014
"5.07 Availability of research and training services, 1-7 (best)",Albania,113,2013-2014
"5.08 Extent of staff training, 1-7 (best)",Albania,36,2013-2014
5th pillar: Higher education and training,Albania,78,2013-2014
"5.01 Secondary education enrollment, gross %*",Albania,69,2012-2013
"5.02 Tertiary education enrollment, gross %*",Albania,93,2012-2013
"5.03 Quality of the education system, 1-7 (best)",Albania,52,2012-2013
"5.04 Quality of math and science education, 1-7 (best)",Albania,40,2012-2013
"5.05 Quality of management schools, 1-7 (best)",Albania,61,2012-2013
"5.06 Internet access in schools, 1-7 (best)",Albania,54,2012-2013
"5.07 Availability of research and training services, 1-7 (best)",Albania,118,2012-2013
"5.08 Extent of staff training, 1-7 (best)",Albania,36,2012-2013
5th pillar: Higher education and training,Albania,76,2012-2013
"5.01 Secondary education enrollment, gross %*",Albania,100,2011-2012
"5.02 Tertiary education enrollment, gross %*",Albania,89,2011-2012
"5.03 Quality of the education system, 1-7 (best)",Albania,45,2011-2012
"5.04 Quality of math and science education, 1-7 (best)",Albania,42,2011-2012
"5.05 Quality of management schools, 1-7 (best)",Albania,69,2011-2012
"5.06 Internet access in schools, 1-7 (best)",Albania,57,2011-2012
"5.07 Availability of research and training services, 1-7 (best)",Albania,100,2011-2012
"5.08 Extent of staff training, 1-7 (best)",Albania,32,2011-2012
5th pillar: Higher education and training,Albania,82,2011-2012
"5.01 Secondary education enrollment, gross %*",Albania,91,2010-2011
"5.02 Tertiary education enrollment, gross %*",Albania,91,2010-2011
"5.03 Quality of the education system, 1-7 (best)",Albania,54,2010-2011
"5.04 Quality of math and science education, 1-7 (best)",Albania,62,2010-2011
"5.05 Quality of management schools, 1-7 (best)",Albania,85,2010-2011
"5.06 Internet access in schools, 1-7 (best)",Albania,69,2010-2011
"5.07 Availability of research and training services, 1-7 (best)",Albania,94,2010-2011
"5.08 Extent of staff training, 1-7 (best)",Albania,55,2010-2011
5th pillar: Higher education and training,Albania,84,2010-2011
"5.01 Secondary education enrollment, gross %*",Albania,91,2009-2010
"5.02 Tertiary education enrollment, gross %*",Albania,85,2009-2010
"5.03 Quality of the education system, 1-7 (best)",Albania,63,2009-2010
"5.04 Quality of math and science education, 1-7 (best)",Albania,59,2009-2010
"5.05 Quality of management schools, 1-7 (best)",Albania,103,2009-2010
"5.06 Internet access in schools, 1-7 (best)",Albania,87,2009-2010
"5.07 Availability of research and training services, 1-7 (best)",Albania,110,2009-2010
"5.08 Extent of staff training, 1-7 (best)",Albania,71,2009-2010
5th pillar: Higher education and training,Albania,90,2009-2010
"5.01 Secondary education enrollment, gross %*",Albania,88,2008-2009
"5.02 Tertiary education enrollment, gross %*",Albania,83,2008-2009
"5.03 Quality of the education system, 1-7 (best)",Albania,80,2008-2009
