Year,University,School,Degree,Hons,Overall_Employment_Rate,Full-Time_Employment_Rate,Gross_Monthly_Mean,Gross_Monthly_Median,Gross_Monthly_25th_Percentile,Gross_Monthly_75th_Percentile
2013,Nanyang Technological University,Business,Accountancy and Business,No,97.4,96.1,3727,3350,2900,4000
2013,Nanyang Technological University,Business,Accountancy,No,97.1,95.7,2938,2700,2700,2900
2013,Nanyang Technological University,Business,Business,No,90.9,85.7,3214,3000,2700,3500
2013,Nanyang Technological University,Business,Business and Computing,No,87.5,87.5,3615,3400,3000,4100
2013,Nanyang Technological University,Engineering,Aerospace Engineering,No,95.3,95.3,3536,3500,3100,3816
2013,Nanyang Technological University,Engineering,Bioengineering,No,81.3,68.8,3166,3125,2893,3365
2013,Nanyang Technological University,Engineering,Chemical and Biomolecular Engineering,No,87.3,85.1,3377,3200,3000,3800
2013,Nanyang Technological University,Engineering,Computer Engineering,No,90.3,88.2,3374,3175,3000,3600
2013,Nanyang Technological University,Engineering,Civil Engineering,No,94.8,93.8,3182,3100,3000,3380
2013,Nanyang Technological University,Engineering,Computer Science,No,92.1,88.5,3306,3125,3000,3600
2013,Nanyang Technological University,Engineering,Electrical and Electronic Engineering,No,91,88.7,3187,3100,3000,3440
2013,Nanyang Technological University,Engineering,Environmental Engineering,No,84,81.5,3140,3000,3000,3300
2013,Nanyang Technological University,Engineering,Information Engineering and Media,No,85.7,79.6,3203,3200,2950,3400
2013,Nanyang Technological University,Engineering,Materials Engineering,No,82.5,78.9,3096,3000,2800,3300
2013,Nanyang Technological University,Engineering,Mechanical Engineering,No,91.6,89.5,3226,3100,3000,3500
2013,Nanyang Technological University,Engineering,Maritime Studies,No,95.6,93.3,3111,3000,2850,3200
2013,Nanyang Technological University,Arts & Social Sciences,"Art, Design & Media",No,81.6,61.4,2638,2500,2300,2900
2013,Nanyang Technological University,Arts & Social Sciences,Chinese,No,85.1,80.5,2924,3000,2600,3300
2013,Nanyang Technological University,Arts & Social Sciences,Communication Studies,No,89.4,79.6,2956,3000,2700,3250
2013,Nanyang Technological University,Arts & Social Sciences,Economics,No,89.9,83.5,3148,3000,2800,3545
2013,Nanyang Technological University,Arts & Social Sciences,English,No,82.7,67.3,3179,3100,2800,3400
2013,Nanyang Technological University,Arts & Social Sciences,Linguistics and Multilingual Studies,No,90.6,81.3,2725,2625,2475,3018
2013,Nanyang Technological University,Arts & Social Sciences,Psychology,No,82.4,71.8,3061,3000,2750,3255
