Year,Enrollment,First_Degree,Sex,Institute_Type
1993,13727,Males Total,M,University
1993,92,Education,M,University
1993,0,Applied Arts,M,University
1993,1251,Humanities & Social Sciences,M,University
1993,28,Mass Communication,M,University
1993,852,Accountancy,M,University
1993,1234,Business & Administration,M,University
1993,353,Law,M,University
1993,1158,"Natural, Physical & Mathematical Sciences",M,University
1993,522,Medicine,M,University
1993,101,Dentistry,M,University
1993,23,Health Sciences,M,University
1993,911,Information Technology,M,University
1993,478,Architecture & Building,M,University
1993,6724,Engineering Sciences,M,University
1993,0,Services,M,University
1993,12078,Females Total,F,University
1993,458,Education,F,University
1993,0,Applied Arts,F,University
1993,3283,Humanities & Social Sciences,F,University
1993,69,Mass Communication,F,University
1993,1246,Accountancy,F,University
1993,2515,Business & Administration,F,University
1993,410,Law,F,University
1993,1598,"Natural, Physical & Mathematical Sciences",F,University
1993,249,Medicine,F,University
1993,40,Dentistry,F,University
1993,79,Health Sciences,F,University
1993,578,Information Technology,F,University
1993,572,Architecture & Building,F,University
1993,981,Engineering Sciences,F,University
1993,0,Services,F,University
1993,23264,Males Total,M,Polytechnic
1993,0,Education,M,Polytechnic
1993,238,Applied Arts,M,Polytechnic
1993,0,Humanities & Social Sciences,M,Polytechnic
1993,83,Mass Communication & Information Science,M,Polytechnic
1993,2038,Business & Administration,M,Polytechnic
1993,26,Legal Studies,M,Polytechnic
1993,660,Science & Related Technologies,M,Polytechnic
1993,85,Health Sciences,M,Polytechnic
1993,915,Information Technology,M,Polytechnic
1993,800,Architecture & Building,M,Polytechnic
1993,18180,Engineering Sciences,M,Polytechnic
1993,239,Services,M,Polytechnic
1993,15534,Females Total,F,Polytechnic
1993,0,Education,F,Polytechnic
1993,278,Applied Arts,F,Polytechnic
1993,0,Humanities & Social Sciences,F,Polytechnic
1993,247,Mass Communication & Information Science,F,Polytechnic
1993,6216,Business & Administration,F,Polytechnic
1993,62,Legal Studies,F,Polytechnic
1993,1220,Science & Related Technologies,F,Polytechnic
