index,Institute,Enrollment,Year,Sex,Institute_Type
1,Nanyang Polytechnic,0,1982,F,Polytechnic
2,Nanyang Polytechnic,0,1983,F,Polytechnic
3,Nanyang Polytechnic,0,1984,F,Polytechnic
4,Nanyang Polytechnic,0,1985,F,Polytechnic
5,Nanyang Polytechnic,0,1986,F,Polytechnic
6,Nanyang Polytechnic,0,1987,F,Polytechnic
7,Nanyang Polytechnic,0,1988,F,Polytechnic
8,Nanyang Polytechnic,0,1989,F,Polytechnic
9,Nanyang Polytechnic,0,1990,F,Polytechnic
10,Nanyang Polytechnic,0,1991,F,Polytechnic
11,Nanyang Polytechnic,580,1992,F,Polytechnic
12,Nanyang Polytechnic,1946,1993,F,Polytechnic
13,Nanyang Polytechnic,3199,1994,F,Polytechnic
14,Nanyang Polytechnic,4066,1995,F,Polytechnic
15,Nanyang Polytechnic,4381,1996,F,Polytechnic
16,Nanyang Polytechnic,4620,1997,F,Polytechnic
17,Nanyang Polytechnic,5129,1998,F,Polytechnic
18,Nanyang Polytechnic,5647,1999,F,Polytechnic
19,Nanyang Polytechnic,5989,2000,F,Polytechnic
20,Nanyang Polytechnic,6379,2001,F,Polytechnic
21,Nanyang Polytechnic,6892,2002,F,Polytechnic
22,Nanyang Polytechnic,7456,2003,F,Polytechnic
23,Nanyang Polytechnic,7875,2004,F,Polytechnic
24,Nanyang Polytechnic,8010,2005,F,Polytechnic
25,Nanyang Polytechnic,7913,2006,F,Polytechnic
26,Nanyang Polytechnic,7732,2007,F,Polytechnic
27,Nanyang Polytechnic,7866,2008,F,Polytechnic
28,Nanyang Polytechnic,8150,2009,F,Polytechnic
29,Nanyang Polytechnic,8387,2010,F,Polytechnic
30,Nanyang Polytechnic,8440,2011,F,Polytechnic
31,Nanyang Polytechnic,8197,2012,F,Polytechnic
32,Nanyang Polytechnic,8242,2013,F,Polytechnic
33,Nanyang Polytechnic,8189,2014,F,Polytechnic
34,Nanyang Polytechnic,8177,2015,F,Polytechnic
35,Nanyang Polytechnic,7661,2016,F,Polytechnic
36,Nanyang Polytechnic,7398,2017,F,Polytechnic
37,Nanyang Polytechnic,7304,2018,F,Polytechnic
38,Nanyang Polytechnic,0,1982,MF,Polytechnic
39,Nanyang Polytechnic,0,1983,MF,Polytechnic
40,Nanyang Polytechnic,0,1984,MF,Polytechnic
41,Nanyang Polytechnic,0,1985,MF,Polytechnic
42,Nanyang Polytechnic,0,1986,MF,Polytechnic
43,Nanyang Polytechnic,0,1987,MF,Polytechnic
44,Nanyang Polytechnic,0,1988,MF,Polytechnic
45,Nanyang Polytechnic,0,1989,MF,Polytechnic
46,Nanyang Polytechnic,0,1990,MF,Polytechnic
47,Nanyang Polytechnic,0,1991,MF,Polytechnic
48,Nanyang Polytechnic,699,1992,MF,Polytechnic
49,Nanyang Polytechnic,3944,1993,MF,Polytechnic
50,Nanyang Polytechnic,5785,1994,MF,Polytechnic
51,Nanyang Polytechnic,7291,1995,MF,Polytechnic
52,Nanyang Polytechnic,7764,1996,MF,Polytechnic
53,Nanyang Polytechnic,8271,1997,MF,Polytechnic
54,Nanyang Polytechnic,9277,1998,MF,Polytechnic
55,Nanyang Polytechnic,10514,1999,MF,Polytechnic
56,Nanyang Polytechnic,11463,2000,MF,Polytechnic
57,Nanyang Polytechnic,12385,2001,MF,Polytechnic
