Sector,Year,Expenditure
Education,2012,10496.9
Health,2012,4671.5
Defence,2012,11523.7
Transport,2012,5915.6
Others,2012,16396.4
Education,2013,11638.3
Health,2013,5766.8
Defence,2013,11751.5
Transport,2013,6058.7
Others,2013,16513
Education,2014,11598.4
Health,2014,7019.2
Defence,2014,12295.5
Transport,2014,6086.3
Others,2014,19648.9
Education,2015,11934.7
Health,2015,8932.9
Defence,2015,13102.5
Transport,2015,11115.3
Others,2015,22361
Education,2016,12468.9
Health,2016,9818.6
Defence,2016,13824.1
Transport,2016,10272.3
Others,2016,24660.2
Education,2017,12690.6
Health,2017,10199.8
Defence,2017,14175.7
Transport,2017,9178.9
Others,2017,27311.4
Education,2018,12876
Health,2018,10427.7
Defence,2018,14306.6
Transport,2018,11776.5
Others,2018,28436.7
